SDATA,TZ,TP
2024-01-12 06:00,7.5,15.7
2024-01-12 07:00,8.0,17.1
2024-01-12 08:00,8.0,16.2
2024-01-12 09:00,6.6,15.5
2024-01-12 10:00,6.6,16.9
2024-01-12 11:00,6.3,15.7
2024-01-12 12:00,5.9,15.0
2024-01-12 13:00,5.9,15.0
2024-01-12 14:00,6.3,16.2
2024-01-12 15:00,6.6,15.9
2024-01-12 16:00,6.1,15.9
2024-01-12 17:00,6.1,15.9
2024-01-12 18:00,5.9,6.8
2024-01-12 19:00,6.1,15.7
2024-01-12 20:00,6.1,15.2
2024-01-12 21:00,5.9,7.7
2024-01-12 22:00,6.1,8.0
2024-01-12 23:00,6.1,7.7
2024-01-13 00:00,,
2024-01-13 01:00,6.3,8.0
2024-01-13 02:00,6.3,8.0
2024-01-13 03:00,6.3,7.7
2024-01-13 04:00,6.6,8.2
2024-01-13 05:00,6.8,8.0
2024-01-13 06:00,6.6,8.9
2024-01-13 07:00,6.8,8.0
2024-01-13 08:00,6.6,8.4
2024-01-13 09:00,6.8,8.0
2024-01-13 10:00,6.8,13.6
2024-01-13 11:00,6.8,13.4
2024-01-13 12:00,7.3,12.4
2024-01-13 13:00,7.0,15.2
2024-01-13 14:00,6.8,15.0
2024-01-13 15:00,6.8,13.1
2024-01-13 16:00,7.3,14.1
2024-01-13 17:00,7.0,12.2
2024-01-13 18:00,7.0,12.9
2024-01-13 19:00,7.5,13.8
2024-01-13 20:00,7.3,14.5
2024-01-13 21:00,6.8,11.7
2024-01-13 22:00,7.0,14.5
2024-01-13 23:00,7.3,14.1
2024-01-14 00:00,6.8,13.4
2024-01-14 01:00,7.0,13.1
2024-01-14 02:00,7.3,13.4
2024-01-14 03:00,6.8,13.4
2024-01-14 04:00,7.0,12.4
2024-01-14 05:00,6.8,13.1
2024-01-14 06:00,7.0,11.7
2024-01-14 07:00,6.8,13.4
2024-01-14 08:00,6.6,13.6
2024-01-14 09:00,6.8,13.4
2024-01-14 10:00,6.8,12.2
2024-01-14 11:00,6.6,11.7
2024-01-14 12:00,6.3,13.6
2024-01-14 13:00,6.1,11.7
2024-01-14 14:00,6.1,11.3
2024-01-14 15:00,6.3,13.1
2024-01-14 16:00,6.1,11.3
2024-01-14 17:00,6.3,12.7
2024-01-14 18:00,6.3,10.3
2024-01-14 19:00,6.3,11.0
2024-01-14 20:00,6.6,12.0
2024-01-14 21:00,6.3,12.2
2024-01-14 22:00,6.3,11.0
2024-01-14 23:00,6.3,11.0
2024-01-15 00:00,,12.0
2024-01-15 01:00,6.6,11.0
2024-01-15 02:00,7.0,11.5
2024-01-15 03:00,6.8,11.5
2024-01-15 04:00,6.6,11.0
2024-01-15 05:00,6.8,10.5
2024-01-15 06:00,7.3,11.0
2024-01-15 07:00,7.5,10.8
2024-01-15 08:00,8.0,10.8
2024-01-15 09:00,8.0,11.7
2024-01-15 10:00,7.7,10.8
2024-01-15 11:00,7.3,10.5
2024-01-15 12:00,7.5,12.0
2024-01-15 13:00,8.0,11.7
2024-01-15 14:00,8.2,11.7
2024-01-15 15:00,7.7,10.8
2024-01-15 16:00,7.7,11.5
2024-01-15 17:00,8.0,11.3
2024-01-15 18:00,8.0,10.8
2024-01-15 19:00,8.0,9.8
2024-01-15 20:00,8.0,11.3
2024-01-15 21:00,8.0,10.8
2024-01-15 22:00,7.7,10.8
2024-01-15 23:00,7.7,10.5
2024-01-16 00:00,7.5,9.8
2024-01-16 01:00,7.3,10.5
2024-01-16 02:00,7.3,9.8
2024-01-16 03:00,6.8,9.8
2024-01-16 04:00,6.8,9.8
2024-01-16 05:00,6.3,10.1
2024-01-16 06:00,6.1,10.8
2024-01-16 07:00,6.1,9.8
2024-01-16 08:00,5.9,10.3
2024-01-16 09:00,5.9,8.7
2024-01-16 10:00,5.6,10.1
2024-01-16 11:00,5.4,10.1
2024-01-16 12:00,4.9,8.0
2024-01-16 13:00,4.9,4.9
2024-01-16 14:00,4.9,5.2
2024-01-16 15:00,5.2,5.4
2024-01-16 16:00,4.9,5.4
2024-01-16 17:00,5.2,6.3
2024-01-16 18:00,5.4,5.6
2024-01-16 19:00,5.4,7.0
2024-01-16 20:00,5.6,7.0
2024-01-16 21:00,6.1,7.5
2024-01-16 22:00,5.9,8.0
2024-01-16 23:00,5.6,7.5
2024-01-17 00:00,5.9,7.7
2024-01-17 01:00,6.3,8.4
2024-01-17 02:00,6.3,8.4
2024-01-17 03:00,6.3,8.4
2024-01-17 04:00,6.3,8.4
2024-01-17 05:00,6.6,8.9
2024-01-17 06:00,6.6,8.7
2024-01-17 07:00,7.5,9.8
2024-01-17 08:00,6.8,9.8
2024-01-17 09:00,6.8,10.8
2024-01-17 10:00,7.0,10.1
2024-01-17 11:00,7.0,9.8
2024-01-17 12:00,7.7,10.5
2024-01-17 13:00,7.3,9.4
2024-01-17 14:00,7.5,9.6
2024-01-17 15:00,7.7,10.1
2024-01-17 16:00,8.0,11.3
2024-01-17 17:00,7.7,9.1
2024-01-17 18:00,7.7,11.5
2024-01-17 19:00,7.7,11.7
2024-01-17 20:00,8.0,11.0
2024-01-17 21:00,7.7,11.5
2024-01-17 22:00,8.0,11.5
2024-01-17 23:00,7.5,11.5
2024-01-18 00:00,7.5,11.7
2024-01-18 01:00,7.3,10.8
2024-01-18 02:00,7.7,11.3
2024-01-18 03:00,7.7,11.5
2024-01-18 04:00,7.3,11.0
2024-01-18 05:00,7.5,11.7
2024-01-18 06:00,7.0,11.5
2024-01-18 07:00,8.0,12.0
2024-01-18 08:00,6.8,11.7
2024-01-18 09:00,7.7,11.3
2024-01-18 10:00,7.5,11.5
2024-01-18 11:00,6.8,11.0
2024-01-18 12:00,7.0,11.0
2024-01-18 13:00,7.5,11.5
2024-01-18 14:00,6.8,10.8
2024-01-18 15:00,7.0,10.5
2024-01-18 16:00,7.0,10.8
2024-01-18 17:00,6.6,11.7
2024-01-18 18:00,6.6,12.0
2024-01-18 19:00,7.0,11.3
2024-01-18 20:00,7.0,11.5
2024-01-18 21:00,7.3,11.5
2024-01-18 22:00,7.0,10.8
2024-01-18 23:00,6.8,10.8
2024-01-19 00:00,6.3,10.5
2024-01-19 01:00,,11.0
2024-01-19 02:00,6.1,10.8
2024-01-19 03:00,6.1,10.3
2024-01-19 04:00,6.3,9.8
2024-01-19 05:00,6.1,10.8
2024-01-19 06:00,5.9,9.8
2024-01-19 07:00,5.6,6.8
2024-01-19 08:00,5.4,6.8
2024-01-19 09:00,5.6,6.8
2024-01-19 10:00,5.4,7.3
2024-01-19 11:00,5.6,10.1
2024-01-19 12:00,5.6,7.3
2024-01-19 13:00,5.9,7.3
2024-01-19 14:00,6.1,7.5
2024-01-19 15:00,6.1,8.2
2024-01-19 16:00,6.3,8.4
2024-01-19 17:00,6.1,8.7
2024-01-19 18:00,5.9,8.4
2024-01-19 19:00,5.9,7.7
2024-01-19 20:00,5.4,8.2
2024-01-19 21:00,5.9,8.2
2024-01-19 22:00,5.9,7.3
2024-01-19 23:00,5.9,8.7
2024-01-20 00:00,5.9,9.1
2024-01-20 01:00,5.9,7.3
2024-01-20 02:00,,7.3
2024-01-20 03:00,6.1,9.1
