Null value: -9999.9	
Date (GMT)	Sea Temperature(ºC)
2011 05 10 23	19.737
2011 05 11 00	19.085
2011 05 11 01	19.066
2011 05 11 02	19.049
2011 05 11 03	19.028
2011 05 11 04	19.003
2011 05 11 05	18.982
2011 05 11 06	18.989
2011 05 11 07	18.999
2011 05 11 08	19.001
2011 05 11 09	19.048
2011 05 11 10	19.118
2011 05 11 11	19.19
2011 05 11 12	19.279
2011 05 11 13	19.37
2011 05 11 14	19.457
2011 05 11 15	19.504
2011 05 11 16	19.526
2011 05 11 17	19.539
2011 05 11 18	19.497
2011 05 11 19	19.44
2011 05 11 20	19.397
2011 05 11 21	19.362
2011 05 11 22	19.339
2011 05 11 23	19.322
2011 05 12 00	19.308
2011 05 12 01	19.294
2011 05 12 02	19.273
2011 05 12 03	19.251
2011 05 12 04	19.222
2011 05 12 05	19.191
2011 05 12 06	19.182
2011 05 12 07	19.179
2011 05 12 08	19.176
2011 05 12 09	19.215
2011 05 12 10	19.274
2011 05 12 11	19.336
2011 05 12 12	19.44
2011 05 12 13	19.567
2011 05 12 14	19.681
2011 05 12 15	19.728
2011 05 12 16	19.72
2011 05 12 17	19.701
2011 05 12 18	19.645
2011 05 12 19	19.568
2011 05 12 20	19.501
2011 05 12 21	19.453
2011 05 12 22	19.425
2011 05 12 23	19.414
2011 05 13 00	19.404
2011 05 13 01	19.379
2011 05 13 02	19.354
2011 05 13 03	19.325
2011 05 13 04	19.296
2011 05 13 05	19.264
2011 05 13 06	19.257
2011 05 13 07	19.252
2011 05 13 08	19.244
2011 05 13 09	19.287
2011 05 13 10	19.355
2011 05 13 11	19.422
2011 05 13 12	19.542
2011 05 13 13	19.696
2011 05 13 14	19.842
2011 05 13 15	19.875
2011 05 13 16	19.842
2011 05 13 17	19.85
2011 05 13 18	19.816
2011 05 13 19	19.759
2011 05 13 20	19.704
2011 05 13 21	19.652
2011 05 13 22	19.608
2011 05 13 23	19.578
2011 05 14 00	19.559
2011 05 14 01	19.545
2011 05 14 02	19.535
2011 05 14 03	19.524
2011 05 14 04	19.517
2011 05 14 05	19.511
2011 05 14 06	19.543
2011 05 14 07	19.583
2011 05 14 08	19.613
2011 05 14 09	19.779
2011 05 14 10	20.071
2011 05 14 11	20.35
2011 05 14 12	20.459
