Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2017 02 23 06	0.518	228.79
2017 02 23 07	0.502	242.13
2017 02 23 08	0.483	253.1
2017 02 23 09	0.463	261.31
2017 02 23 10	0.45	268.19
2017 02 23 11	0.443	273.69
2017 02 23 12	0.428	279.07
2017 02 23 13	0.394	282.23
2017 02 23 14	0.356	282.55
2017 02 23 15	0.319	281.11
2017 02 23 16	0.301	281.61
2017 02 23 17	0.283	286.1
2017 02 23 18	0.26	292.43
2017 02 23 19	0.229	299.91
2017 02 23 20	0.186	307.05
2017 02 23 21	0.143	314.0
2017 02 23 22	0.095	314.33
2017 02 23 23	0.051	292.66
2017 02 24 00	0.062	229.76
2017 02 24 01	0.126	212.85
2017 02 24 02	0.208	207.61
2017 02 24 03	0.314	205.72
2017 02 24 04	0.441	208.31
2017 02 24 05	0.586	215.46
2017 02 24 06	0.672	227.63
2017 02 24 07	0.656	242.32
2017 02 24 08	0.592	253.43
2017 02 24 09	0.535	259.35
2017 02 24 10	0.512	264.23
2017 02 24 11	0.496	271.0
2017 02 24 12	0.476	277.11
2017 02 24 13	0.456	283.33
2017 02 24 14	0.42	292.07
2017 02 24 15	0.353	302.66
2017 02 24 16	0.281	314.13
2017 02 24 17	0.205	327.92
2017 02 24 18	0.139	345.26
2017 02 24 19	0.101	11.67
2017 02 24 20	0.079	48.65
2017 02 24 21	0.083	102.96
2017 02 24 22	0.145	148.83
2017 02 24 23	0.264	170.37
2017 02 25 00	0.339	178.18
2017 02 25 01	0.48	193.17
2017 02 25 02	0.651	210.57
2017 02 25 03	0.812	227.8
2017 02 25 04	0.882	241.91
2017 02 25 05	0.921	249.06
2017 02 25 06	0.916	252.64
2017 02 25 07	0.872	257.42
2017 02 25 08	0.828	262.82
2017 02 25 09	0.758	269.06
2017 02 25 10	0.661	277.58
2017 02 25 11	0.556	287.57
2017 02 25 12	0.457	299.45
2017 02 25 13	0.386	309.78
2017 02 25 14	0.318	316.79
2017 02 25 15	0.235	319.33
2017 02 25 16	0.149	319.38
2017 02 25 17	0.072	319.28
2017 02 25 18	0.036	186.55
2017 02 25 19	0.184	170.4
2017 02 25 20	0.363	171.59
2017 02 25 21	0.482	175.3
2017 02 25 22	0.505	184.47
2017 02 25 23	0.485	200.02
2017 02 26 00	0.499	215.51
2017 02 26 01	0.554	225.2
2017 02 26 02	0.631	229.44
2017 02 26 03	0.667	231.36
2017 02 26 04	0.654	232.32
2017 02 26 05	0.625	233.69
2017 02 26 06	0.568	237.03
2017 02 26 07	0.49	243.56
2017 02 26 08	0.403	253.86
2017 02 26 09	0.321	264.08
2017 02 26 10	0.251	278.11
2017 02 26 11	0.205	294.81
2017 02 26 12	0.178	313.46
2017 02 26 13	0.145	324.82
2017 02 26 14	0.107	339.38
2017 02 26 15	0.065	352.91
2017 02 26 16	0.02	29.49
2017 02 26 17	0.037	144.26
2017 02 26 18	0.074	155.51
2017 02 26 19	0.106	162.16
2017 02 26 20	0.16	170.74
2017 02 26 21	0.248	176.31
2017 02 26 22	0.353	178.77
2017 02 26 23	0.43	182.01
2017 02 27 00	0.467	190.73
2017 02 27 01	0.49	204.48
2017 02 27 02	0.51	219.82
2017 02 27 03	0.53	234.27
2017 02 27 04	0.561	246.74
2017 02 27 05	0.603	256.93
2017 02 27 06	0.631	265.66
2017 02 27 07	0.629	272.94
2017 02 27 08	0.615	279.08
2017 02 27 09	0.598	285.4
2017 02 27 10	0.575	294.76
2017 02 27 11	0.546	307.27
2017 02 27 12	0.513	323.81
2017 02 27 13	0.461	347.09
2017 02 27 14	0.386	14.62
2017 02 27 15	0.277	42.0
2017 02 27 16	0.212	79.34
2017 02 27 17	0.23	112.82
2017 02 27 18	0.291	133.2
2017 02 27 19	0.399	146.57
2017 02 27 20	0.5	153.83
2017 02 27 21	0.499	162.55
2017 02 27 22	0.433	178.96
2017 02 27 23	0.401	201.21
2017 02 28 00	0.405	220.41
2017 02 28 01	0.388	234.75
2017 02 28 02	0.349	246.91
2017 02 28 03	0.302	259.98
2017 02 28 04	0.259	272.82
2017 02 28 05	0.216	284.22
2017 02 28 06	0.164	298.46
2017 02 28 07	0.124	322.86
2017 02 28 08	0.117	355.04
2017 02 28 09	0.137	19.6
2017 02 28 10	0.171	34.61
2017 02 28 11	0.196	45.82
2017 02 28 12	0.221	57.54
2017 02 28 13	0.246	73.93
2017 02 28 14	0.274	92.73
2017 02 28 15	0.302	111.41
2017 02 28 16	0.33	128.66
2017 02 28 17	0.354	142.58
2017 02 28 18	0.359	152.39
2017 02 28 19	0.346	161.1
2017 02 28 20	0.317	170.38
2017 02 28 21	0.272	180.01
2017 02 28 22	0.225	190.26
2017 02 28 23	0.178	202.52
2017 03 01 00	0.151	214.79
2017 03 01 01	0.133	234.22
2017 03 01 02	0.145	252.88
2017 03 01 03	0.179	266.27
2017 03 01 04	0.226	273.9
2017 03 01 05	0.272	278.56
2017 03 01 06	0.298	287.68
2017 03 01 07	0.313	304.5
2017 03 01 08	0.346	329.49
2017 03 01 09	0.413	354.12
2017 03 01 10	0.46	11.76
2017 03 01 11	0.448	24.73
2017 03 01 12	0.409	35.25
2017 03 01 13	0.371	44.86
2017 03 01 14	0.353	56.96
2017 03 01 15	0.328	74.3
2017 03 01 16	0.315	93.06
2017 03 01 17	0.312	110.77
2017 03 01 18	0.316	126.35
2017 03 01 19	0.321	137.72
2017 03 01 20	0.314	147.42
2017 03 01 21	0.286	156.94
2017 03 01 22	0.249	170.86
2017 03 01 23	0.214	187.33
2017 03 02 00	0.177	203.75
2017 03 02 01	0.148	224.71
2017 03 02 02	0.145	249.82
2017 03 02 03	0.187	272.6
2017 03 02 04	0.248	288.03
2017 03 02 05	0.302	298.87
2017 03 02 06	0.335	309.91
2017 03 02 07	0.342	323.41
2017 03 02 08	0.337	339.34
2017 03 02 09	0.339	356.21
2017 03 02 10	0.366	11.5
2017 03 02 11	0.394	22.47
2017 03 02 12	0.413	30.12
2017 03 02 13	0.413	36.09
2017 03 02 14	0.398	41.36
2017 03 02 15	0.381	47.89
2017 03 02 16	0.351	55.81
2017 03 02 17	0.319	66.88
2017 03 02 18	0.293	80.32
2017 03 02 19	0.284	95.25
2017 03 02 20	0.284	110.78
2017 03 02 21	0.282	120.43
2017 03 02 22	0.262	124.23
2017 03 02 23	0.22	126.15
2017 03 03 00	0.155	128.6
2017 03 03 01	0.098	123.22
2017 03 03 02	0.058	104.3
2017 03 03 03	0.057	64.8
2017 03 03 04	0.084	49.42
2017 03 03 05	0.105	49.2
2017 03 03 06	0.131	53.5
2017 03 03 07	0.168	59.59
2017 03 03 08	0.228	63.89
2017 03 03 09	0.303	70.16
2017 03 03 10	0.376	78.02
2017 03 03 11	0.439	86.17
2017 03 03 12	0.486	93.83
2017 03 03 13	0.504	100.45
2017 03 03 14	0.49	106.63
2017 03 03 15	0.458	112.35
2017 03 03 16	0.429	118.58
2017 03 03 17	0.413	125.7
2017 03 03 18	0.4	131.93
2017 03 03 19	0.377	137.79
2017 03 03 20	0.339	142.72
2017 03 03 21	0.285	146.44
2017 03 03 22	0.225	146.08
2017 03 03 23	0.169	135.99
2017 03 04 00	0.14	114.45
2017 03 04 01	0.158	88.59
2017 03 04 02	0.203	75.74
2017 03 04 03	0.258	70.74
2017 03 04 04	0.318	69.14
2017 03 04 05	0.364	70.02
2017 03 04 06	0.398	72.7
2017 03 04 07	0.415	77.43
2017 03 04 08	0.417	83.47
2017 03 04 09	0.416	88.42
2017 03 04 10	0.412	91.33
2017 03 04 11	0.415	92.6
2017 03 04 12	0.422	93.27
2017 03 04 13	0.43	95.8
2017 03 04 14	0.424	100.14
2017 03 04 15	0.398	105.84
2017 03 04 16	0.362	111.62
2017 03 04 17	0.32	116.64
2017 03 04 18	0.271	121.34
2017 03 04 19	0.217	123.36
2017 03 04 20	0.167	122.32
2017 03 04 21	0.133	115.53
2017 03 04 22	0.116	103.61
2017 03 04 23	0.117	89.2
2017 03 05 00	0.136	77.41
2017 03 05 01	0.162	72.05
2017 03 05 02	0.187	70.29
2017 03 05 03	0.212	70.39
2017 03 05 04	0.235	72.32
2017 03 05 05	0.25	76.66
2017 03 05 06	0.264	81.78
2017 03 05 07	0.281	88.21
2017 03 05 08	0.302	95.01
2017 03 05 09	0.327	100.55
2017 03 05 10	0.352	104.37
2017 03 05 11	0.364	107.38
2017 03 05 12	0.358	110.61
2017 03 05 13	0.333	113.67
2017 03 05 14	0.295	118.05
2017 03 05 15	0.252	122.21
2017 03 05 16	0.212	127.46
2017 03 05 17	0.179	133.23
2017 03 05 18	0.153	139.7
2017 03 05 19	0.13	146.98
2017 03 05 20	0.112	155.12
2017 03 05 21	0.093	160.7
2017 03 05 22	0.07	156.19
2017 03 05 23	0.056	128.11
2017 03 06 00	0.074	97.7
2017 03 06 01	0.115	82.59
2017 03 06 02	0.159	79.66
2017 03 06 03	0.202	79.99
2017 03 06 04	0.239	81.9
2017 03 06 05	0.255	86.79
2017 03 06 06	0.256	93.12
2017 03 06 07	0.235	101.53
2017 03 06 08	0.2	114.83
2017 03 06 09	0.164	132.53
2017 03 06 10	0.135	156.78
2017 03 06 11	0.122	186.46
2017 03 06 12	0.115	213.21
2017 03 06 13	0.08	239.57
2017 03 06 14	0.043	320.37
2017 03 06 15	0.101	29.44
2017 03 06 16	0.17	51.14
2017 03 06 17	0.226	64.01
2017 03 06 18	0.275	73.89
2017 03 06 19	0.311	80.89
2017 03 06 20	0.331	87.75
2017 03 06 21	0.337	94.83
2017 03 06 22	0.327	102.45
2017 03 06 23	0.305	110.22
2017 03 07 00	0.274	118.16
2017 03 07 01	0.241	126.56
2017 03 07 02	0.206	137.83
2017 03 07 03	0.172	148.79
2017 03 07 04	0.138	161.29
2017 03 07 05	0.109	179.72
2017 03 07 06	0.085	200.84
2017 03 07 07	0.068	232.32
2017 03 07 08	0.068	265.67
2017 03 07 09	0.077	294.16
2017 03 07 10	0.092	314.06
2017 03 07 11	0.105	328.8
2017 03 07 12	0.118	342.93
2017 03 07 13	0.137	359.61
2017 03 07 14	0.176	18.14
2017 03 07 15	0.238	36.47
2017 03 07 16	0.306	53.83
2017 03 07 17	0.363	68.0
2017 03 07 18	0.419	78.79
2017 03 07 19	0.449	87.91
2017 03 07 20	0.442	97.66
2017 03 07 21	0.408	109.51
2017 03 07 22	0.365	123.59
2017 03 07 23	0.321	139.22
2017 03 08 00	0.277	157.04
2017 03 08 01	0.239	177.03
2017 03 08 02	0.215	200.41
2017 03 08 03	0.204	226.69
2017 03 08 04	0.209	252.71
2017 03 08 05	0.225	275.2
2017 03 08 06	0.227	296.95
2017 03 08 07	0.221	320.62
2017 03 08 08	0.213	345.08
2017 03 08 09	0.212	8.3
2017 03 08 10	0.214	26.71
2017 03 08 11	0.207	40.6
2017 03 08 12	0.194	53.14
2017 03 08 13	0.178	65.51
2017 03 08 14	0.167	76.7
2017 03 08 15	0.16	85.05
2017 03 08 16	0.159	93.14
2017 03 08 17	0.172	100.53
2017 03 08 18	0.193	105.11
2017 03 08 19	0.197	107.56
2017 03 08 20	0.183	112.91
2017 03 08 21	0.149	124.16
2017 03 08 22	0.104	146.68
2017 03 08 23	0.08	201.69
2017 03 09 00	0.12	248.11
2017 03 09 01	0.169	269.97
2017 03 09 02	0.197	285.24
2017 03 09 03	0.204	300.61
2017 03 09 04	0.198	316.27
2017 03 09 05	0.188	333.48
2017 03 09 06	0.181	352.05
2017 03 09 07	0.187	9.54
2017 03 09 08	0.197	25.49
2017 03 09 09	0.201	39.52
2017 03 09 10	0.196	52.25
2017 03 09 11	0.171	67.2
2017 03 09 12	0.136	88.28
2017 03 09 13	0.106	120.0
2017 03 09 14	0.1	163.27
2017 03 09 15	0.112	199.24
2017 03 09 16	0.133	226.17
2017 03 09 17	0.147	248.76
2017 03 09 18	0.161	269.55
2017 03 09 19	0.178	286.82
2017 03 09 20	0.2	302.87
2017 03 09 21	0.221	315.95
2017 03 09 22	0.233	327.57
2017 03 09 23	0.229	336.02
2017 03 10 00	0.21	342.76
2017 03 10 01	0.178	349.99
2017 03 10 02	0.14	2.19
2017 03 10 03	0.113	24.33
2017 03 10 04	0.112	51.65
2017 03 10 05	0.128	74.27
2017 03 10 06	0.145	88.28
2017 03 10 07	0.149	98.87
2017 03 10 08	0.135	112.27
2017 03 10 09	0.111	134.72
2017 03 10 10	0.094	173.83
2017 03 10 11	0.122	215.16
2017 03 10 12	0.177	238.4
2017 03 10 13	0.233	252.78
2017 03 10 14	0.275	263.68
2017 03 10 15	0.292	273.86
2017 03 10 16	0.288	285.21
2017 03 10 17	0.273	298.21
2017 03 10 18	0.253	314.36
2017 03 10 19	0.241	336.21
2017 03 10 20	0.245	0.87
2017 03 10 21	0.264	24.11
2017 03 10 22	0.267	43.8
2017 03 10 23	0.241	62.83
2017 03 11 00	0.206	88.94
2017 03 11 01	0.196	121.38
2017 03 11 02	0.211	149.94
2017 03 11 03	0.223	171.11
2017 03 11 04	0.225	188.48
2017 03 11 05	0.216	205.77
2017 03 11 06	0.197	223.75
2017 03 11 07	0.175	245.19
2017 03 11 08	0.16	268.92
2017 03 11 09	0.155	294.96
2017 03 11 10	0.161	317.8
2017 03 11 11	0.17	333.63
2017 03 11 12	0.168	343.54
2017 03 11 13	0.144	350.16
2017 03 11 14	0.109	0.23
2017 03 11 15	0.073	21.49
2017 03 11 16	0.062	73.77
2017 03 11 17	0.1	110.54
2017 03 11 18	0.14	124.66
2017 03 11 19	0.158	129.84
2017 03 11 20	0.153	130.22
2017 03 11 21	0.136	127.87
2017 03 11 22	0.117	132.25
2017 03 11 23	0.105	151.46
2017 03 12 00	0.118	181.18
2017 03 12 01	0.159	204.58
2017 03 12 02	0.211	218.55
2017 03 12 03	0.251	228.45
2017 03 12 04	0.269	237.63
2017 03 12 05	0.275	246.91
2017 03 12 06	0.262	257.47
2017 03 12 07	0.231	269.92
2017 03 12 08	0.199	284.22
2017 03 12 09	0.175	302.84
2017 03 12 10	0.178	323.79
2017 03 12 11	0.186	336.94
2017 03 12 12	0.177	344.55
2017 03 12 13	0.134	348.64
2017 03 12 14	0.075	352.67
2017 03 12 15	0.014	13.32
2017 03 12 16	0.043	156.27
2017 03 12 17	0.089	156.06
2017 03 12 18	0.124	157.44
2017 03 12 19	0.136	157.18
2017 03 12 20	0.127	155.03
2017 03 12 21	0.103	148.83
2017 03 12 22	0.075	141.2
2017 03 12 23	0.046	129.07
2017 03 13 00	0.022	136.26
2017 03 13 01	0.02	203.88
2017 03 13 02	0.052	225.47
2017 03 13 03	0.077	231.11
2017 03 13 04	0.09	235.23
2017 03 13 05	0.098	238.58
2017 03 13 06	0.084	246.07
2017 03 13 07	0.059	263.22
2017 03 13 08	0.04	307.99
2017 03 13 09	0.062	1.65
2017 03 13 10	0.112	20.71
2017 03 13 11	0.157	28.75
2017 03 13 12	0.182	34.24
2017 03 13 13	0.173	39.6
2017 03 13 14	0.144	44.72
2017 03 13 15	0.104	51.61
2017 03 13 16	0.074	68.96
2017 03 13 17	0.07	91.59
2017 03 13 18	0.083	105.07
2017 03 13 19	0.095	105.02
2017 03 13 20	0.109	99.3
2017 03 13 21	0.124	90.82
2017 03 13 22	0.132	86.48
2017 03 13 23	0.13	85.15
2017 03 14 00	0.114	89.57
2017 03 14 01	0.082	102.09
2017 03 14 02	0.052	148.96
2017 03 14 03	0.073	205.72
2017 03 14 04	0.115	228.11
2017 03 14 05	0.157	240.36
2017 03 14 06	0.178	251.55
2017 03 14 07	0.184	265.23
2017 03 14 08	0.186	281.12
2017 03 14 09	0.189	300.42
2017 03 14 10	0.201	321.94
2017 03 14 11	0.216	339.66
2017 03 14 12	0.228	354.58
2017 03 14 13	0.218	6.3
2017 03 14 14	0.19	15.75
2017 03 14 15	0.137	25.21
2017 03 14 16	0.07	40.97
2017 03 14 17	0.028	127.37
2017 03 14 18	0.076	184.86
2017 03 14 19	0.116	195.57
2017 03 14 20	0.14	202.23
2017 03 14 21	0.143	209.28
2017 03 14 22	0.13	220.09
2017 03 14 23	0.111	238.93
2017 03 15 00	0.099	232.53
2017 03 15 01	0.101	254.73
2017 03 15 02	0.113	270.05
2017 03 15 03	0.125	280.5
2017 03 15 04	0.13	289.21
2017 03 15 05	0.128	295.27
2017 03 15 06	0.119	303.99
2017 03 15 07	0.111	321.14
2017 03 15 08	0.106	339.22
2017 03 15 09	0.109	1.1
2017 03 15 10	0.124	21.66
2017 03 15 11	0.135	37.84
2017 03 15 12	0.145	51.76
2017 03 15 13	0.141	64.59
2017 03 15 14	0.128	78.45
2017 03 15 15	0.105	100.55
2017 03 15 16	0.091	129.62
2017 03 15 17	0.093	161.07
2017 03 15 18	0.108	185.74
2017 03 15 19	0.12	205.62
2017 03 15 20	0.132	227.37
2017 03 15 21	0.147	250.77
2017 03 15 22	0.164	272.35
2017 03 15 23	0.18	292.5
2017 03 16 00	0.192	310.95
2017 03 16 01	0.198	326.89
2017 03 16 02	0.186	339.5
2017 03 16 03	0.158	353.33
2017 03 16 04	0.116	6.55
2017 03 16 05	0.065	28.35
2017 03 16 06	0.039	88.09
2017 03 16 07	0.063	147.05
2017 03 16 08	0.098	166.59
2017 03 16 09	0.128	180.52
2017 03 16 10	0.146	192.68
2017 03 16 11	0.161	205.73
2017 03 16 12	0.17	219.73
2017 03 16 13	0.177	235.56
2017 03 16 14	0.188	251.7
2017 03 16 15	0.201	266.49
2017 03 16 16	0.213	277.12
2017 03 16 17	0.218	285.17
2017 03 16 18	0.213	291.76
2017 03 16 19	0.195	297.75
2017 03 16 20	0.17	305.08
2017 03 16 21	0.144	316.37
2017 03 16 22	0.122	333.81
2017 03 16 23	0.11	354.73
2017 03 17 00	0.11	17.82
2017 03 17 01	0.106	37.31
2017 03 17 02	0.085	59.74
2017 03 17 03	0.067	93.4
2017 03 17 04	0.071	147.43
2017 03 17 05	0.116	185.81
2017 03 17 06	0.171	204.32
2017 03 17 07	0.215	216.01
2017 03 17 08	0.245	225.41
2017 03 17 09	0.257	234.72
2017 03 17 10	0.251	246.89
2017 03 17 11	0.244	259.79
2017 03 17 12	0.234	274.82
2017 03 17 13	0.226	290.08
2017 03 17 14	0.217	303.97
2017 03 17 15	0.205	316.16
2017 03 17 16	0.183	327.11
2017 03 17 17	0.151	337.67
2017 03 17 18	0.111	347.63
2017 03 17 19	0.077	4.31
2017 03 17 20	0.045	35.72
2017 03 17 21	0.035	97.46
2017 03 17 22	0.06	151.62
2017 03 17 23	0.097	174.74
2017 03 18 00	0.128	191.68
2017 03 18 01	0.154	204.45
2017 03 18 02	0.182	215.04
2017 03 18 03	0.197	225.87
2017 03 18 04	0.209	237.87
2017 03 18 05	0.224	249.17
2017 03 18 06	0.228	259.18
2017 03 18 07	0.225	267.68
2017 03 18 08	0.217	274.69
2017 03 18 09	0.2	281.44
2017 03 18 10	0.185	289.54
2017 03 18 11	0.171	298.46
2017 03 18 12	0.16	310.41
2017 03 18 13	0.152	323.2
2017 03 18 14	0.145	336.24
2017 03 18 15	0.137	350.02
2017 03 18 16	0.124	4.93
2017 03 18 17	0.098	25.38
2017 03 18 18	0.061	56.17
2017 03 18 19	0.046	115.99
2017 03 18 20	0.074	165.76
2017 03 18 21	0.107	187.11
2017 03 18 22	0.129	202.82
2017 03 18 23	0.136	217.85
2017 03 19 00	0.136	233.9
2017 03 19 01	0.138	247.75
2017 03 19 02	0.142	256.37
2017 03 19 03	0.138	263.55
2017 03 19 04	0.138	270.88
2017 03 19 05	0.139	273.65
2017 03 19 06	0.137	274.86
2017 03 19 07	0.137	273.57
2017 03 19 08	0.138	270.63
2017 03 19 09	0.141	267.39
2017 03 19 10	0.147	268.29
2017 03 19 11	0.159	272.37
2017 03 19 12	0.167	281.2
2017 03 19 13	0.158	293.23
2017 03 19 14	0.123	304.35
2017 03 19 15	0.082	310.91
2017 03 19 16	0.042	307.27
2017 03 19 17	0.022	262.01
2017 03 19 18	0.041	212.89
2017 03 19 19	0.074	206.5
2017 03 19 20	0.114	209.77
2017 03 19 21	0.151	215.93
2017 03 19 22	0.179	223.67
2017 03 19 23	0.194	232.33
2017 03 20 00	0.195	241.59
2017 03 20 01	0.19	250.93
2017 03 20 02	0.187	258.16
2017 03 20 03	0.183	264.82
2017 03 20 04	0.178	268.54
2017 03 20 05	0.178	268.26
2017 03 20 06	0.175	266.99
2017 03 20 07	0.175	265.72
2017 03 20 08	0.175	264.79
2017 03 20 09	0.172	264.73
2017 03 20 10	0.161	267.56
2017 03 20 11	0.149	278.48
2017 03 20 12	0.148	296.37
2017 03 20 13	0.142	312.11
2017 03 20 14	0.13	325.53
2017 03 20 15	0.11	337.81
2017 03 20 16	0.081	346.79
2017 03 20 17	0.051	359.44
2017 03 20 18	0.017	37.73
2017 03 20 19	0.029	163.01
2017 03 20 20	0.066	186.46
2017 03 20 21	0.094	197.62
2017 03 20 22	0.119	204.75
2017 03 20 23	0.133	212.69
2017 03 21 00	0.14	221.18
2017 03 21 01	0.139	230.18
2017 03 21 02	0.142	239.02
2017 03 21 03	0.142	249.32
2017 03 21 04	0.14	259.28
2017 03 21 05	0.146	266.85
2017 03 21 06	0.144	276.41
2017 03 21 07	0.139	286.82
2017 03 21 08	0.133	296.85
2017 03 21 09	0.123	310.49
2017 03 21 10	0.111	329.79
2017 03 21 11	0.103	351.11
2017 03 21 12	0.103	14.62
2017 03 21 13	0.109	36.57
2017 03 21 14	0.118	54.75
2017 03 21 15	0.13	70.51
2017 03 21 16	0.137	87.65
2017 03 21 17	0.141	103.96
2017 03 21 18	0.144	121.3
2017 03 21 19	0.146	139.86
2017 03 21 20	0.151	160.1
2017 03 21 21	0.155	178.01
2017 03 21 22	0.161	194.14
2017 03 21 23	0.164	208.12
2017 03 22 00	0.162	219.6
2017 03 22 01	0.151	232.62
2017 03 22 02	0.141	246.79
2017 03 22 03	0.13	265.22
2017 03 22 04	0.123	285.08
2017 03 22 05	0.123	301.72
2017 03 22 06	0.124	316.54
2017 03 22 07	0.128	333.88
2017 03 22 08	0.131	346.63
2017 03 22 09	0.131	359.84
2017 03 22 10	0.131	17.6
2017 03 22 11	0.127	35.34
2017 03 22 12	0.134	53.12
2017 03 22 13	0.145	69.65
2017 03 22 14	0.158	82.92
2017 03 22 15	0.168	94.27
2017 03 22 16	0.167	107.16
2017 03 22 17	0.164	120.89
2017 03 22 18	0.16	137.08
2017 03 22 19	0.152	151.75
2017 03 22 20	0.147	166.96
2017 03 22 21	0.143	181.53
2017 03 22 22	0.142	195.81
2017 03 22 23	0.142	209.38
2017 03 23 00	0.139	223.21
2017 03 23 01	0.124	238.07
2017 03 23 02	0.11	255.89
2017 03 23 03	0.094	282.92
2017 03 23 04	0.095	316.6
2017 03 23 05	0.11	340.75
2017 03 23 06	0.13	1.17
2017 03 23 07	0.153	17.34
2017 03 23 08	0.165	30.29
2017 03 23 09	0.172	43.22
2017 03 23 10	0.175	57.2
2017 03 23 11	0.17	73.33
2017 03 23 12	0.166	90.77
2017 03 23 13	0.167	108.81
2017 03 23 14	0.171	123.77
2017 03 23 15	0.17	134.23
2017 03 23 16	0.164	142.34
2017 03 23 17	0.153	149.3
2017 03 23 18	0.138	156.45
2017 03 23 19	0.118	164.77
2017 03 23 20	0.099	178.16
2017 03 23 21	0.084	197.07
2017 03 23 22	0.078	218.34
2017 03 23 23	0.082	237.93
2017 03 24 00	0.089	254.52
2017 03 24 01	0.092	270.8
2017 03 24 02	0.094	285.66
2017 03 24 03	0.094	306.8
2017 03 24 04	0.103	330.4
2017 03 24 05	0.12	347.92
2017 03 24 06	0.137	2.73
2017 03 24 07	0.154	13.19
2017 03 24 08	0.159	20.54
2017 03 24 09	0.15	26.44
2017 03 24 10	0.123	30.5
2017 03 24 11	0.085	28.88
2017 03 24 12	0.055	29.58
2017 03 24 13	0.032	67.53
2017 03 24 14	0.045	124.72
2017 03 24 15	0.072	145.71
2017 03 24 16	0.09	154.5
2017 03 24 17	0.097	158.29
2017 03 24 18	0.093	163.13
2017 03 24 19	0.075	167.76
2017 03 24 20	0.05	176.47
2017 03 24 21	0.021	198.83
2017 03 24 22	0.02	300.16
2017 03 24 23	0.045	324.01
2017 03 25 00	0.067	331.95
2017 03 25 01	0.075	339.91
2017 03 25 02	0.07	352.79
2017 03 25 03	0.073	13.5
2017 03 25 04	0.09	33.0
2017 03 25 05	0.107	46.27
2017 03 25 06	0.127	55.03
2017 03 25 07	0.143	60.82
2017 03 25 08	0.149	65.91
2017 03 25 09	0.144	72.39
2017 03 25 10	0.137	81.32
2017 03 25 11	0.122	96.68
2017 03 25 12	0.116	116.7
2017 03 25 13	0.12	138.43
2017 03 25 14	0.131	154.21
2017 03 25 15	0.136	164.7
2017 03 25 16	0.131	173.39
2017 03 25 17	0.11	179.91
2017 03 25 18	0.078	187.94
2017 03 25 19	0.038	204.06
2017 03 25 20	0.021	296.85
2017 03 25 21	0.056	341.58
2017 03 25 22	0.086	355.55
2017 03 25 23	0.101	5.84
2017 03 26 00	0.102	14.94
2017 03 26 01	0.093	27.12
2017 03 26 02	0.081	43.31
2017 03 26 03	0.074	61.29
2017 03 26 04	0.078	72.92
2017 03 26 05	0.08	79.28
2017 03 26 06	0.081	81.65
2017 03 26 07	0.086	78.11
2017 03 26 08	0.083	76.36
2017 03 26 09	0.075	76.39
2017 03 26 10	0.066	76.17
2017 03 26 11	0.045	86.3
2017 03 26 12	0.024	122.57
2017 03 26 13	0.028	187.37
2017 03 26 14	0.048	212.01
2017 03 26 15	0.058	219.9
2017 03 26 16	0.057	221.22
2017 03 26 17	0.042	217.82
2017 03 26 18	0.019	194.95
2017 03 26 19	0.021	102.54
2017 03 26 20	0.048	82.69
2017 03 26 21	0.076	77.26
2017 03 26 22	0.095	71.36
2017 03 26 23	0.102	68.68
2017 03 27 00	0.093	73.75
2017 03 27 01	0.079	82.77
2017 03 27 02	0.057	105.18
2017 03 27 03	0.042	132.76
2017 03 27 04	0.034	164.12
2017 03 27 05	0.026	204.09
2017 03 27 06	0.018	271.34
2017 03 27 07	0.033	330.83
2017 03 27 08	0.06	354.83
2017 03 27 09	0.09	7.95
2017 03 27 10	0.125	19.28
2017 03 27 11	0.152	27.51
2017 03 27 12	0.166	35.99
2017 03 27 13	0.166	45.34
2017 03 27 14	0.154	56.21
2017 03 27 15	0.139	67.63
2017 03 27 16	0.12	80.02
2017 03 27 17	0.104	91.18
2017 03 27 18	0.088	97.9
2017 03 27 19	0.065	94.46
2017 03 27 20	0.044	75.65
2017 03 27 21	0.038	40.65
2017 03 27 22	0.037	3.09
2017 03 27 23	0.046	327.78
2017 03 28 00	0.061	306.39
2017 03 28 01	0.078	290.05
2017 03 28 02	0.098	277.58
2017 03 28 03	0.12	269.58
2017 03 28 04	0.136	267.56
2017 03 28 05	0.146	269.32
2017 03 28 06	0.147	275.17
2017 03 28 07	0.145	286.06
2017 03 28 08	0.144	299.47
2017 03 28 09	0.148	311.99
2017 03 28 10	0.162	320.93
2017 03 28 11	0.178	325.79
2017 03 28 12	0.189	328.61
2017 03 28 13	0.189	330.31
2017 03 28 14	0.177	332.5
2017 03 28 15	0.143	336.59
2017 03 28 16	0.093	338.66
2017 03 28 17	0.037	333.73
2017 03 28 18	0.02	219.0
2017 03 28 19	0.055	194.42
2017 03 28 20	0.084	190.75
2017 03 28 21	0.104	197.27
2017 03 28 22	0.119	207.96
2017 03 28 23	0.131	222.09
2017 03 29 00	0.135	237.8
2017 03 29 01	0.153	246.79
2017 03 29 02	0.169	252.67
2017 03 29 03	0.172	258.1
2017 03 29 04	0.168	261.24
2017 03 29 05	0.155	263.47
2017 03 29 06	0.139	267.66
2017 03 29 07	0.129	273.71
2017 03 29 08	0.118	285.85
