Valor nulo: -9999.9		
Fecha (GMT)	Velocidad media de Corriente(m/s)	Dir. de prop. de la Corriente (0=N,90=E)
2011 04 22 14	0.063	44.47
2011 04 22 15	0.127	55.42
2011 04 22 16	0.165	68.41
2011 04 22 17	0.18	86.37
2011 04 22 18	0.199	109.8
2011 04 22 19	0.222	132.23
2011 04 22 20	0.248	147.93
2011 04 22 21	0.279	162.04
2011 04 22 22	0.293	173.88
2011 04 22 23	0.291	184.45
2011 04 23 00	0.277	193.66
2011 04 23 01	0.234	202.61
2011 04 23 02	0.188	216.08
2011 04 23 03	0.139	236.5
2011 04 23 04	0.105	272.92
2011 04 23 05	0.111	298.06
2011 04 23 06	0.117	308.81
2011 04 23 07	0.112	313.01
2011 04 23 08	0.098	312.71
2011 04 23 09	0.083	315.41
2011 04 23 10	0.062	323.22
2011 04 23 11	0.045	346.09
2011 04 23 12	0.06	19.66
2011 04 23 13	0.099	42.79
2011 04 23 14	0.13	60.09
2011 04 23 15	0.167	79.51
2011 04 23 16	0.203	97.92
2011 04 23 17	0.23	119.53
2011 04 23 18	0.262	140.36
2011 04 23 19	0.295	158.73
2011 04 23 20	0.323	173.09
2011 04 23 21	0.333	184.21
2011 04 23 22	0.339	194.28
2011 04 23 23	0.336	203.82
2011 04 24 00	0.309	213.07
2011 04 24 01	0.288	224.04
2011 04 24 02	0.263	237.95
2011 04 24 03	0.232	256.64
2011 04 24 04	0.222	277.51
2011 04 24 05	0.225	295.29
2011 04 24 06	0.224	306.6
2011 04 24 07	0.207	311.69
2011 04 24 08	0.173	311.46
2011 04 24 09	0.143	303.95
2011 04 24 10	0.129	290.33
2011 04 24 11	0.123	282.92
2011 04 24 12	0.117	292.04
2011 04 24 13	0.124	311.94
2011 04 24 14	0.143	334.35
2011 04 24 15	0.185	0.53
2011 04 24 16	0.211	17.78
2011 04 24 17	0.214	35.04
2011 04 24 18	0.184	53.91
2011 04 24 19	0.147	80.05
2011 04 24 20	0.14	109.29
2011 04 24 21	0.157	139.61
2011 04 24 22	0.188	159.37
2011 04 24 23	0.2	171.3
2011 04 25 00	0.202	182.67
2011 04 25 01	0.188	194.5
2011 04 25 02	0.149	208.43
2011 04 25 03	0.114	231.92
2011 04 25 04	0.101	265.95
2011 04 25 05	0.113	296.17
2011 04 25 06	0.133	303.6
2011 04 25 07	0.142	302.09
2011 04 25 08	0.144	300.93
2011 04 25 09	0.146	297.33
2011 04 25 10	0.151	299.08
2011 04 25 11	0.155	308.84
2011 04 25 12	0.167	336.47
2011 04 25 13	0.21	2.08
2011 04 25 14	0.26	20.87
2011 04 25 15	0.294	38.05
2011 04 25 16	0.306	53.16
2011 04 25 17	0.296	66.43
2011 04 25 18	0.256	81.18
2011 04 25 19	0.217	97.8
2011 04 25 20	0.194	116.71
2011 04 25 21	0.189	140.89
2011 04 25 22	0.203	158.82
2011 04 25 23	0.214	171.78
2011 04 26 00	0.216	184.51
2011 04 26 01	0.194	196.0
2011 04 26 02	0.158	213.52
2011 04 26 03	0.114	243.67
2011 04 26 04	0.108	292.27
2011 04 26 05	0.146	324.1
2011 04 26 06	0.166	337.51
2011 04 26 07	0.157	344.41
2011 04 26 08	0.13	351.88
2011 04 26 09	0.097	347.36
2011 04 26 10	0.075	337.99
2011 04 26 11	0.064	330.73
2011 04 26 12	0.069	330.14
2011 04 26 13	0.091	343.89
2011 04 26 14	0.118	354.99
2011 04 26 15	0.156	13.64
2011 04 26 16	0.204	31.82
2011 04 26 17	0.243	44.39
2011 04 26 18	0.261	58.82
2011 04 26 19	0.249	74.18
2011 04 26 20	0.229	90.19
2011 04 26 21	0.207	113.7
2011 04 26 22	0.2	134.77
2011 04 26 23	0.196	150.0
2011 04 27 00	0.191	165.58
2011 04 27 01	0.171	175.6
2011 04 27 02	0.129	183.31
2011 04 27 03	0.078	200.98
2011 04 27 04	0.025	271.7
2011 04 27 05	0.066	357.3
2011 04 27 06	0.105	8.09
2011 04 27 07	0.122	14.46
2011 04 27 08	0.125	22.3
2011 04 27 09	0.106	27.72
2011 04 27 10	0.083	30.38
2011 04 27 11	0.065	35.15
2011 04 27 12	0.054	38.2
2011 04 27 13	0.06	36.57
2011 04 27 14	0.076	38.59
2011 04 27 15	0.14	41.53
2011 04 27 16	0.243	47.76
2011 04 27 17	0.34	56.04
2011 04 27 18	0.391	69.05
2011 04 27 19	0.389	86.14
2011 04 27 20	0.375	103.91
2011 04 27 21	0.358	123.24
2011 04 27 22	0.336	142.0
2011 04 27 23	0.303	157.49
2011 04 28 00	0.254	171.36
2011 04 28 01	0.193	184.26
2011 04 28 02	0.127	198.89
2011 04 28 03	0.078	228.32
2011 04 28 04	0.059	281.52
2011 04 28 05	0.082	329.87
2011 04 28 06	0.117	352.68
2011 04 28 07	0.141	6.69
2011 04 28 08	0.159	20.14
2011 04 28 09	0.149	28.1
2011 04 28 10	0.117	33.57
2011 04 28 11	0.085	42.83
2011 04 28 12	0.072	52.2
2011 04 28 13	0.089	55.33
2011 04 28 14	0.133	54.08
2011 04 28 15	0.205	55.02
2011 04 28 16	0.272	60.97
2011 04 28 17	0.303	69.92
2011 04 28 18	0.292	81.9
2011 04 28 19	0.253	95.97
2011 04 28 20	0.203	109.41
2011 04 28 21	0.154	123.95
2011 04 28 22	0.112	137.28
2011 04 28 23	0.076	147.93
2011 04 29 00	0.054	158.76
2011 04 29 01	0.038	158.21
2011 04 29 02	0.03	162.4
2011 04 29 03	0.014	182.62
2011 04 29 04	0.023	13.77
2011 04 29 05	0.067	17.75
2011 04 29 06	0.118	33.0
2011 04 29 07	0.172	45.08
2011 04 29 08	0.202	55.73
2011 04 29 09	0.202	66.34
2011 04 29 10	0.191	79.55
2011 04 29 11	0.182	92.65
2011 04 29 12	0.169	100.16
2011 04 29 13	0.162	99.24
2011 04 29 14	0.161	96.26
2011 04 29 15	0.163	94.33
2011 04 29 16	0.165	96.11
2011 04 29 17	0.159	100.66
2011 04 29 18	0.151	103.5
2011 04 29 19	0.141	106.89
2011 04 29 20	0.132	106.52
2011 04 29 21	0.121	108.03
2011 04 29 22	0.1	118.19
2011 04 29 23	0.082	123.66
2011 04 30 00	0.069	142.97
2011 04 30 01	0.07	175.63
2011 04 30 02	0.082	196.88
2011 04 30 03	0.099	210.06
2011 04 30 04	0.095	218.24
2011 04 30 05	0.073	228.09
2011 04 30 06	0.044	246.92
2011 04 30 07	0.031	346.94
2011 04 30 08	0.078	28.54
2011 04 30 09	0.094	45.4
2011 04 30 10	0.089	65.45
2011 04 30 11	0.08	99.78
2011 04 30 12	0.091	144.99
2011 04 30 13	0.117	167.29
2011 04 30 14	0.131	179.21
2011 04 30 15	0.128	188.68
2011 04 30 16	0.103	193.85
2011 04 30 17	0.073	195.84
2011 04 30 18	0.065	195.31
2011 04 30 19	0.052	195.62
2011 04 30 20	0.036	199.2
2011 04 30 21	0.04	218.3
2011 04 30 22	0.046	241.92
2011 04 30 23	0.067	251.69
2011 05 01 00	0.116	251.25
2011 05 01 01	0.15	254.11
2011 05 01 02	0.185	255.29
2011 05 01 03	0.218	258.75
2011 05 01 04	0.221	268.38
2011 05 01 05	0.22	278.62
2011 05 01 06	0.224	290.91
2011 05 01 07	0.226	309.36
2011 05 01 08	0.226	323.28
2011 05 01 09	0.21	333.89
2011 05 01 10	0.184	343.69
2011 05 01 11	0.137	340.41
2011 05 01 12	0.098	328.21
2011 05 01 13	0.078	306.51
2011 05 01 14	0.093	275.48
2011 05 01 15	0.09	273.75
2011 05 01 16	0.083	273.28
2011 05 01 17	0.084	269.68
2011 05 01 18	0.065	260.58
2011 05 01 19	0.062	238.41
2011 05 01 20	0.071	228.63
2011 05 01 21	0.092	224.66
2011 05 01 22	0.131	224.73
2011 05 01 23	0.172	229.26
2011 05 02 00	0.188	235.63
2011 05 02 01	0.221	240.64
2011 05 02 02	0.255	244.86
2011 05 02 03	0.256	251.72
2011 05 02 04	0.259	257.49
2011 05 02 05	0.247	264.21
2011 05 02 06	0.212	277.13
