Null value: -9999.9	
Date (GMT)	Salinity(psu)
2011 04 28 12	36.169
2011 04 28 13	36.169
2011 04 28 14	36.169
2011 04 28 15	36.169
2011 04 28 16	36.169
2011 04 28 17	36.169
2011 04 28 18	36.169
2011 04 28 19	36.169
2011 04 28 20	36.169
2011 04 28 21	36.169
2011 04 28 22	36.169
2011 04 28 23	36.169
2011 04 29 00	36.085
2011 04 29 01	36.085
2011 04 29 02	36.085
2011 04 29 03	36.085
2011 04 29 04	36.085
2011 04 29 05	36.085
2011 04 29 06	36.085
2011 04 29 07	36.085
2011 04 29 08	36.085
2011 04 29 09	36.085
2011 04 29 10	36.085
2011 04 29 11	36.085
2011 04 29 12	36.085
2011 04 29 13	36.085
2011 04 29 14	36.085
2011 04 29 15	36.085
2011 04 29 16	36.085
2011 04 29 17	36.085
2011 04 29 18	36.085
2011 04 29 19	36.085
2011 04 29 20	36.085
2011 04 29 21	36.085
2011 04 29 22	36.085
2011 04 29 23	36.085
2011 04 30 00	35.927
2011 04 30 01	35.927
2011 04 30 02	35.927
2011 04 30 03	35.927
2011 04 30 04	35.927
2011 04 30 05	35.927
2011 04 30 06	35.927
2011 04 30 07	35.927
2011 04 30 08	35.927
2011 04 30 09	35.927
2011 04 30 10	35.927
2011 04 30 11	35.927
2011 04 30 12	35.927
2011 04 30 13	35.927
2011 04 30 14	35.927
2011 04 30 15	35.927
2011 04 30 16	35.927
2011 04 30 17	35.927
2011 04 30 18	35.927
2011 04 30 19	35.927
2011 04 30 20	35.927
2011 04 30 21	35.927
2011 04 30 22	35.927
2011 04 30 23	35.927
2011 05 01 00	35.941
2011 05 01 01	35.941
2011 05 01 02	35.941
2011 05 01 03	35.941
2011 05 01 04	35.941
2011 05 01 05	35.941
2011 05 01 06	35.941
2011 05 01 07	35.941
2011 05 01 08	35.941
2011 05 01 09	35.941
2011 05 01 10	35.941
2011 05 01 11	35.941
2011 05 01 12	35.941
2011 05 01 13	35.941
2011 05 01 14	35.941
2011 05 01 15	35.941
2011 05 01 16	35.941
2011 05 01 17	35.941
2011 05 01 18	35.941
2011 05 01 19	35.941
2011 05 01 20	35.941
2011 05 01 21	35.941
2011 05 01 22	35.941
2011 05 01 23	35.941
2011 05 02 00	36.018
2011 05 02 01	36.018
2011 05 02 02	36.018
2011 05 02 03	36.018
2011 05 02 04	36.018
2011 05 02 05	36.018
2011 05 02 06	36.018
2011 05 02 07	36.018
2011 05 02 08	36.018
2011 05 02 09	36.018
2011 05 02 10	36.018
2011 05 02 11	36.018
2011 05 02 12	36.018
2011 05 02 13	36.018
2011 05 02 14	36.018
2011 05 02 15	36.018
2011 05 02 16	36.018
2011 05 02 17	36.018
2011 05 02 18	36.018
2011 05 02 19	36.018
2011 05 02 20	36.018
2011 05 02 21	36.018
2011 05 02 22	36.018
2011 05 02 23	36.018
2011 05 03 00	36.122
2011 05 03 01	36.122
2011 05 03 02	36.122
2011 05 03 03	36.122
2011 05 03 04	36.122
2011 05 03 05	36.122
2011 05 03 06	36.122
2011 05 03 07	36.122
2011 05 03 08	36.122
2011 05 03 09	36.122
2011 05 03 10	36.122
2011 05 03 11	36.122
2011 05 03 12	36.122
2011 05 03 13	36.122
2011 05 03 14	36.122
2011 05 03 15	36.122
2011 05 03 16	36.122
2011 05 03 17	36.122
2011 05 03 18	36.122
2011 05 03 19	36.122
2011 05 03 20	36.122
2011 05 03 21	36.122
2011 05 03 22	36.122
2011 05 03 23	36.122
2011 05 04 00	36.098
2011 05 04 01	36.098
2011 05 04 02	36.098
2011 05 04 03	36.098
2011 05 04 04	36.098
2011 05 04 05	36.098
2011 05 04 06	36.098
2011 05 04 07	36.098
2011 05 04 08	36.098
2011 05 04 09	36.098
2011 05 04 10	36.098
2011 05 04 11	36.098
2011 05 04 12	36.098
2011 05 04 13	36.098
2011 05 04 14	36.098
2011 05 04 15	36.098
2011 05 04 16	36.098
2011 05 04 17	36.098
2011 05 04 18	36.098
2011 05 04 19	36.098
2011 05 04 20	36.098
2011 05 04 21	36.098
2011 05 04 22	36.098
2011 05 04 23	36.098
2011 05 05 00	36.036
2011 05 05 01	36.036
2011 05 05 02	36.036
2011 05 05 03	36.036
2011 05 05 04	36.036
2011 05 05 05	36.036
2011 05 05 06	36.036
2011 05 05 07	36.036
2011 05 05 08	36.036
2011 05 05 09	36.036
2011 05 05 10	36.036
2011 05 05 11	36.036
2011 05 05 12	36.036
2011 05 05 13	36.036
2011 05 05 14	36.036
2011 05 05 15	36.036
2011 05 05 16	36.036
2011 05 05 17	36.036
2011 05 05 18	36.036
2011 05 05 19	36.036
2011 05 05 20	36.036
2011 05 05 21	36.036
2011 05 05 22	36.036
2011 05 05 23	36.036
2011 05 06 00	36.032
2011 05 06 01	36.032
2011 05 06 02	36.032
2011 05 06 03	36.032
2011 05 06 04	36.032
2011 05 06 05	36.032
2011 05 06 06	36.032
2011 05 06 07	36.032
2011 05 06 08	36.032
2011 05 06 09	36.032
2011 05 06 10	36.032
2011 05 06 11	36.032
2011 05 06 12	36.032
2011 05 06 13	36.032
2011 05 06 14	36.032
2011 05 06 15	36.032
2011 05 06 16	36.032
2011 05 06 17	36.032
2011 05 06 18	36.032
2011 05 06 19	36.032
2011 05 06 20	36.032
2011 05 06 21	36.032
2011 05 06 22	36.032
2011 05 06 23	36.032
2011 05 07 00	36.141
2011 05 07 01	36.141
2011 05 07 02	36.141
2011 05 07 03	36.141
2011 05 07 04	36.141
2011 05 07 05	36.141
2011 05 07 06	36.141
2011 05 07 07	36.141
2011 05 07 08	36.141
2011 05 07 09	36.141
2011 05 07 10	36.141
2011 05 07 11	36.141
2011 05 07 12	36.141
2011 05 07 13	36.141
2011 05 07 14	36.141
2011 05 07 15	36.141
2011 05 07 16	36.141
2011 05 07 17	36.141
2011 05 07 18	36.141
2011 05 07 19	36.141
2011 05 07 20	36.141
2011 05 07 21	36.141
2011 05 07 22	36.141
2011 05 07 23	36.141
2011 05 08 00	36.187
2011 05 08 01	36.187
2011 05 08 02	36.187
2011 05 08 03	36.187
2011 05 08 04	36.187
2011 05 08 05	36.187
2011 05 08 06	36.187
2011 05 08 07	36.187
2011 05 08 08	36.187
2011 05 08 09	36.187
2011 05 08 10	36.187
2011 05 08 11	36.187
2011 05 08 12	36.187
2011 05 08 13	36.187
2011 05 08 14	36.187
2011 05 08 15	36.187
2011 05 08 16	36.187
2011 05 08 17	36.187
2011 05 08 18	36.187
2011 05 08 19	36.187
2011 05 08 20	36.187
2011 05 08 21	36.187
2011 05 08 22	36.187
2011 05 08 23	36.187
2011 05 09 00	36.18
2011 05 09 01	36.18
2011 05 09 02	36.18
2011 05 09 03	36.18
2011 05 09 04	36.18
2011 05 09 05	36.18
2011 05 09 06	36.18
2011 05 09 07	36.18
2011 05 09 08	36.18
2011 05 09 09	36.18
2011 05 09 10	36.18
2011 05 09 11	36.18
2011 05 09 12	36.18
2011 05 09 13	36.18
2011 05 09 14	36.18
2011 05 09 15	36.18
2011 05 09 16	36.18
2011 05 09 17	36.18
2011 05 09 18	36.18
2011 05 09 19	36.18
2011 05 09 20	36.18
2011 05 09 21	36.18
2011 05 09 22	36.18
2011 05 09 23	36.18
2011 05 10 00	36.136
2011 05 10 01	36.136
2011 05 10 02	36.136
2011 05 10 03	36.136
2011 05 10 04	36.136
2011 05 10 05	36.136
2011 05 10 06	36.136
2011 05 10 07	36.136
2011 05 10 08	36.136
2011 05 10 09	36.136
2011 05 10 10	36.136
2011 05 10 11	36.136
2011 05 10 12	36.136
2011 05 10 13	36.136
2011 05 10 14	36.136
2011 05 10 15	36.136
2011 05 10 16	36.136
2011 05 10 17	36.136
2011 05 10 18	36.136
2011 05 10 19	36.136
2011 05 10 20	36.136
2011 05 10 21	36.136
2011 05 10 22	36.136
2011 05 10 23	36.136
2011 05 11 00	36.415
2011 05 11 01	36.415
2011 05 11 02	36.415
2011 05 11 03	36.415
2011 05 11 04	36.415
2011 05 11 05	36.415
2011 05 11 06	36.415
2011 05 11 07	36.415
2011 05 11 08	36.415
2011 05 11 09	36.415
2011 05 11 10	36.415
2011 05 11 11	36.415
2011 05 11 12	36.415
2011 05 11 13	36.415
2011 05 11 14	36.415
2011 05 11 15	36.415
2011 05 11 16	36.415
2011 05 11 17	36.415
2011 05 11 18	36.415
2011 05 11 19	36.415
2011 05 11 20	36.415
2011 05 11 21	36.415
2011 05 11 22	36.415
2011 05 11 23	36.415
2011 05 12 00	36.408
2011 05 12 01	36.408
2011 05 12 02	36.408
2011 05 12 03	36.408
2011 05 12 04	36.408
2011 05 12 05	36.408
2011 05 12 06	36.408
2011 05 12 07	36.408
2011 05 12 08	36.408
2011 05 12 09	36.408
2011 05 12 10	36.408
2011 05 12 11	36.408
2011 05 12 12	36.408
2011 05 12 13	36.408
2011 05 12 14	36.408
2011 05 12 15	36.408
2011 05 12 16	36.408
2011 05 12 17	36.408
2011 05 12 18	36.408
2011 05 12 19	36.408
2011 05 12 20	36.408
2011 05 12 21	36.408
2011 05 12 22	36.408
2011 05 12 23	36.408
2011 05 13 00	36.387
2011 05 13 01	36.387
2011 05 13 02	36.387
2011 05 13 03	36.387
2011 05 13 04	36.387
2011 05 13 05	36.387
2011 05 13 06	36.387
2011 05 13 07	36.387
2011 05 13 08	36.387
2011 05 13 09	36.387
2011 05 13 10	36.387
2011 05 13 11	36.387
2011 05 13 12	36.387
2011 05 13 13	36.387
2011 05 13 14	36.387
2011 05 13 15	36.387
2011 05 13 16	36.387
2011 05 13 17	36.387
2011 05 13 18	36.387
2011 05 13 19	36.387
2011 05 13 20	36.387
2011 05 13 21	36.387
2011 05 13 22	36.387
2011 05 13 23	36.387
2011 05 14 00	36.396
2011 05 14 01	36.396
2011 05 14 02	36.396
2011 05 14 03	36.396
2011 05 14 04	36.396
2011 05 14 05	36.396
2011 05 14 06	36.396
2011 05 14 07	36.396
2011 05 14 08	36.396
2011 05 14 09	36.396
2011 05 14 10	36.396
2011 05 14 11	36.396
2011 05 14 12	36.396
2011 05 14 13	36.396
